Order,Family,Subfamily,UMD_Code,TaxLevel,Genus,Species,Subspecies,IncludeSubspecies,Common Name,NABA Comments,Comments,Stex-Mex OW only
872,Hesperiidae,Hesperiinae,POLIDRA,SPECIES,Polites,draco,,,Draco Skipper,,,FALSE
871,Hesperiidae,Hesperiinae,POLIMAR,SPECIES,Polites,mardon,,,Mardon Skipper,,,FALSE
876,Hesperiidae,Hesperiinae,POLIMYS,SPECIES,Polites,mystic,,,Long Dash,,,FALSE
875,Hesperiidae,Hesperiinae,POLIORI,SPECIES,Polites,origenes,,,Crossline Skipper,,P. origenes = manataaqua as per Scott,FALSE
869,Hesperiidae,Hesperiinae,POLIPEC,SPECIES,Polites,peckius,,,Peck's Skipper,,Scott notes also called P. coras,FALSE
867,Hesperiidae,Hesperiinae,POLIRHE,SPECIES,Polites,rhesus,,,Rhesus Skipper,,,FALSE
870,Hesperiidae,Hesperiinae,POLISAB,SPECIES,Polites,sabuleti,,,Sandhill Skipper,,,FALSE
877,Hesperiidae,Hesperiinae,POLISON,SPECIES,Polites,sonora,,,Sonoran Skipper,,,FALSE
874,Hesperiidae,Hesperiinae,POLITHE,SPECIES,Polites,themistocles,,,Tawny-edged Skipper,,,FALSE
878,Hesperiidae,Hesperiinae,POLIVIB,SPECIES,Polites,vibex,,,Whirlabout,,,FALSE
429,Nymphalidae,Nymphalinae,POLMIN,SPECIES,Poladryas,minuta,,,Dotted Checkerspot,*,,FALSE
675,Hesperiidae,Pyrginae,POLT-SP,GENUS,Polythrix,sp.,,,Polythrix sp.,,,FALSE
673,Hesperiidae,Pyrginae,POLTMEX,SPECIES,Polythrix,mexicanus,,,Mexican Longtail,*,,FALSE
674,Hesperiidae,Pyrginae,POLTOCT,SPECIES,Polythrix,octomaculata,,,Eight-spotted Longtail,,,FALSE
494,Nymphalidae,Nymphalinae,POLY-SP,GENUS,Polygonia,sp.,,,Anglewing sp.,,,FALSE
484,Nymphalidae,Nymphalinae,POLYCOM,SPECIES,Polygonia,comma,,,Eastern Comma,,,FALSE
486,Nymphalidae,Nymphalinae,POLYFAU,SPECIES,Polygonia,faunus,,,Green Comma,,,FALSE
487,Nymphalidae,Nymphalinae,POLYFAU,SUBSPECIES,Polygonia,faunus,faunus,,'Green' Green Comma,,,FALSE
488,Nymphalidae,Nymphalinae,POLYFAU,SUBSPECIES,Polygonia,faunus,hylas,,Green Comma,,,FALSE
489,Nymphalidae,Nymphalinae,POLYFAU,SUBSPECIES,Polygonia,faunus,silvius,,'Sylvan' Green Comma,,,FALSE
490,Nymphalidae,Nymphalinae,POLYGRA,SPECIES,Polygonia,gracilis,,,Hoary Comma,,,FALSE
491,Nymphalidae,Nymphalinae,POLYGRA,SUBSPECIES,Polygonia,gracilis,zephyrus,,Zephyr' Hoary Comma,,,FALSE
483,Nymphalidae,Nymphalinae,POLYINT,SPECIES,Polygonia,interrogationis,,,Question Mark,,,FALSE
492,Nymphalidae,Nymphalinae,POLYORE,SPECIES,Polygonia,oreas,,,Oreas Comma,*,,FALSE
493,Nymphalidae,Nymphalinae,POLYPRO,SPECIES,Polygonia,progne,,,Gray Comma,*,,FALSE
485,Nymphalidae,Nymphalinae,POLYSAT,SPECIES,Polygonia,satyrus,,,Satyr Comma,,,FALSE
883,Hesperiidae,Hesperiinae,POMVER,SPECIES,Pompeius,verna,,,Little Glassywing,,,FALSE
58,Pieridae,Pierinae,PON-SP,GENUS,Pontia,sp.,,,Pontia sp.,,,FALSE
54,Pieridae,Pierinae,PONBEC,SPECIES,Pontia,beckerii,,,Becker's White,,,FALSE
57,Pieridae,Pierinae,PONOCC,SPECIES,Pontia,occidentalis,,,Western White,,,FALSE
56,Pieridae,Pierinae,PONPRO,SPECIES,Pontia,protodice,,,Checkered White,,,FALSE
55,Pieridae,Pierinae,PONSIS,SPECIES,Pontia,sisymbrii,,,Spring White,,,FALSE
891,Hesperiidae,Hesperiinae,PRO-SP,GENUS,Problema,sp.,,,Problema sp.,,,FALSE
890,Hesperiidae,Hesperiinae,PROBUL,SPECIES,Problema,bulenta,,,Rare Skipper,,,FALSE
889,Hesperiidae,Hesperiinae,PROBYS,SPECIES,Problema,byssus,,,Byssus Skipper,,,FALSE
657,Hesperiidae,Pyrginae,PROTMER,SPECIES,Proteides,mercurius,,,Mercurial Skipper,,,FALSE
845,Hesperiidae,Hesperiinae,PSEEUN,SPECIES,Pseudocopaeodes,eunus,,,Alkali Skipper,,,FALSE
782,Hesperiidae,Pyrginae,PYR-SP,GENUS,Pyrgus,sp.,,,Checkered-Skipper sp.,,,FALSE
779,Hesperiidae,Pyrginae,PYRALB,SPECIES,Pyrgus,albescens,,,White Checkered-Skipper,*,Scott lists as ssp. of communis,FALSE
773,Hesperiidae,Pyrginae,PYRCEN,SPECIES,Pyrgus,centaureae,,,Grizzled Skipper,,,FALSE
774,Hesperiidae,Pyrginae,PYRCEN,SUBSPECIES,Pyrgus,centaureae,wyandot,,'Appalachian' Grizzled Skipper,,,FALSE
778,Hesperiidae,Pyrginae,PYRCOM,SPECIES,Pyrgus,communis,,,Common Checkered-Skipper,*,,FALSE
780,Hesperiidae,Pyrginae,PYROIL,SPECIES,Pyrgus,oileus,,,Tropical Checkered-Skipper,,,TRUE
781,Hesperiidae,Pyrginae,PYRPHI,SPECIES,Pyrgus,philetas,,,Desert Checkered-Skipper,,,FALSE
653,Hesperiidae,Pyrrhopyginae,PYRRARA,SPECIES,Pyrrhopyge,araxes,,,Dull Firetip,,,FALSE
775,Hesperiidae,Pyrginae,PYRRUR,SPECIES,Pyrgus,ruralis,,,Two-banded Checkered-Skipper,,,FALSE
777,Hesperiidae,Pyrginae,PYRSCR,SPECIES,Pyrgus,scriptura,,,Small Checkered-Skipper,,,FALSE
776,Hesperiidae,Pyrginae,PYRXAN,SPECIES,Pyrgus,xanthus,,,Mountain Checkered-Skipper,,,FALSE
906,Hesperiidae,Hesperiinae,QUAEUL,SPECIES,Quasimellana,eulogius,,,Common Mellana,,,FALSE
171,Lycaenidae,Theclinae,REK-SP,GENUS,Rekoa,sp.,,,Rekoa sp.,,,FALSE
170,Lycaenidae,Theclinae,REKMAR,SPECIES,Rekoa,marius,,,Marius Hairstreak,,,FALSE
169,Lycaenidae,Theclinae,REKPAL,SPECIES,Rekoa,palegon,,,Gold-bordered Hairstreak,,,FALSE
829,Hesperiidae,Hesperiinae,RHIOSC,SPECIES,Rhinthon,osca,,,Osca Skipper,,,FALSE
416,Nymphalidae,Heliconiinae,S-BOAC,SUBSPECIES,Boloria,improba acrocnema,,Y,Uncompahgre' Dingy Fritillary,,,FALSE
522,Nymphalidae,Limenitidinae,S-LIAR,SUBSPECIES,Limenitis,arthemis arthemis,,Y,White Admiral,,,FALSE
523,Nymphalidae,Limenitidinae,S-LIAS,SUBSPECIES,Limenitis,arthemis astyanax,,Y,Red-spotted Purple,,,FALSE
321,Lycaenidae,Polyommatinae,S-LYSA,SUBSPECIES,Lycaeides,melissa,samuelis,Y,Karner' Melissa Blue,,Plebejus as per Scott,FALSE
197,Lycaenidae,Theclinae,SAT-SP,GENUS,Satyrium,sp.,,,Satyrium sp.,,,FALSE
181,Lycaenidae,Theclinae,SATACA,SPECIES,Satyrium,acadica,,,Acadian Hairstreak,,,FALSE
189,Lycaenidae,Theclinae,SATAUR,SPECIES,Satyrium,auretorum,,,Gold-hunter's Hairstreak,,,FALSE
179,Lycaenidae,Theclinae,SATBEH,SPECIES,Satyrium,behrii,,,Behr's Hairstreak,,,FALSE
185,Lycaenidae,Theclinae,SATCA1,SPECIES,Satyrium,calanus,,,Banded Hairstreak,,,FALSE
182,Lycaenidae,Theclinae,SATCA2,SPECIES,Satyrium,californica,,,California Hairstreak,,,FALSE
186,Lycaenidae,Theclinae,SATCA3,SPECIES,Satyrium,caryaevorum,,,Hickory Hairstreak,,,FALSE
184,Lycaenidae,Theclinae,SATEDW,SPECIES,Satyrium,edwardsii,,,Edwards' Hairstreak,,,FALSE
192,Lycaenidae,Theclinae,SATFAV,SPECIES,Satyrium,favonius,,,Oak Hairstreak,*,,FALSE
193,Lycaenidae,Theclinae,SATFAV,SUBSPECIES,Satyrium,favonius,favonius,,Southern' Oak Hairstreak,,,FALSE
194,Lycaenidae,Theclinae,SATFAV,SUBSPECIES,Satyrium,favonius,ontario,,Northern' Oak Hairstreak,,,FALSE
180,Lycaenidae,Theclinae,SATFUL,SPECIES,Satyrium,fulginosa,,,Sooty Hairstreak,*,,FALSE
195,Lycaenidae,Theclinae,SATILA,SPECIES,Satyrium,ilavia,,,Ilavia Hairstreak,,,FALSE
187,Lycaenidae,Theclinae,SATKIN,SPECIES,Satyrium,kingi,,,King's Hairstreak,,,FALSE
188,Lycaenidae,Theclinae,SATLIP,SPECIES,Satyrium,liparops,,,Striped Hairstreak,,,FALSE
196,Lycaenidae,Theclinae,SATPOL,SPECIES,Satyrium,polingi,,,Poling's Hairstreak,,,FALSE
191,Lycaenidae,Theclinae,SATSAE,SPECIES,Satyrium,saepium,,,Hedgerow Hairstreak,,,FALSE
183,Lycaenidae,Theclinae,SATSYL,SPECIES,Satyrium,sylvinus,,,Sylvan Hairstreak,,,FALSE
190,Lycaenidae,Theclinae,SATTET,SPECIES,Satyrium,tetra,,,Mountain Mahogany Hairstreak,,,FALSE
178,Lycaenidae,Theclinae,SATTIT,SPECIES,Satyrium,titus,,,Coral Hairstreak,,,FALSE
587,Nymphalidae,Satyrinae,SATY-SP,GENUS,Satyrodes,sp.,,,Brown sp.,,,FALSE
586,Nymphalidae,Satyrinae,SATYAPP,SPECIES,Satyrodes,appalachia,,,Appalachian Brown,,Scott uses Lethe,FALSE
585,Nymphalidae,Satyrinae,SATYEUR,SPECIES,Satyrodes,eurydice,,,Eyed Brown,,Scott uses Lethe,FALSE
579,Nymphalidae,Apaturinae,SF-APAT,SUBFAMILY,Apaturinae,sp.,,,Emperor sp.,,,FALSE
138,Pieridae,Coliadinae,SF-COLI,SUBFAMILY,Coliadinae,sp.,,,Sulphur sp.,,,FALSE
428,Nymphalidae,Heliconiinae,SF-HELI,SUBFAMILY,Heliconiinae,sp.,,,Heliconiinae sp.,,,FALSE
968,Hesperiidae,Hesperiinae,SF-HESP,SUBFAMILY,Hesperiinae,sp.,,,Grass Skipper sp.,,,FALSE
808,Hesperiidae,Heteropterinae,SF-HETE,SUBFAMILY,Heteropterinae,sp.,,,Heteropterinae sp.,,,FALSE
564,Nymphalidae,Limenitidinae,SF-LIME,SUBFAMILY,Limenitidinae,sp.,,,Limenitidinae sp.,,,FALSE
986,Hesperiidae,Megathyminae,SF-MEGA,SUBFAMILY,Megathyminae,sp.,,,Giant-Skipper sp.,,,FALSE
520,Nymphalidae,Nymphalinae,SF-NYMP,SUBFAMILY,Nymphalinae,sp.,,,Nymphalinae sp.,,,FALSE
46,Papilionidae,Papilioninae,SF-PAPI,SUBFAMILY,Papilioninae,sp.,,,Swallowtail sp.,,,FALSE
86,Pieridae,Pierinae,SF-PIER,SUBFAMILY,Pierinae,sp.,,,White sp.,,,FALSE
339,Lycaenidae,Polyommatinae,SF-POLY,SUBFAMILY,Polyommatinae,sp.,,,Blue sp.,,,FALSE
800,Hesperiidae,Pyrginae,SF-PYRG,SUBFAMILY,Pyrginae,sp.,,,Spreadwing Skipper sp.,,,FALSE
644,Nymphalidae,Satyrinae,SF-SATY,SUBFAMILY,Satyrinae,sp.,,,Satyr sp.,,,FALSE
268,Lycaenidae,Theclinae,SF-THEC,SUBFAMILY,Theclinae,sp.,,,Hairstreak sp.,,,FALSE
259,Lycaenidae,Theclinae,SIDTEP,SPECIES,Siderus,tephraeus,,,Pearly-gray Hairstreak,,,FALSE
519,Nymphalidae,Nymphalinae,SIP-SP,GENUS,Siproeta,sp.,,,Siproeta sp.,,,FALSE
518,Nymphalidae,Nymphalinae,SIPEPA,SPECIES,Siproeta,epaphus,,,Rusty-tipped Page,*,,FALSE
517,Nymphalidae,Nymphalinae,SIPSTE,SPECIES,Siproeta,stelenes,,,Malachite,,,FALSE
558,Nymphalidae,Limenitidinae,SMYBLO,SPECIES,Smyrna,blomfildia,,,Blomfild's Beauty,,,FALSE
738,Hesperiidae,Pyrginae,SOSBIF,SPECIES,Sostrata,bifasciata,,,Blue-studded Skipper,,,FALSE
719,Hesperiidae,Pyrginae,SPACLO,SPECIES,Spathilepia,clonius,,,Falcate Skipper,,,FALSE
408,Nymphalidae,Heliconiinae,SPEY-SP,GENUS,Speyeria,sp.,,,Greater fritillary sp.,,,FALSE
399,Nymphalidae,Heliconiinae,SPEYADI,SPECIES,Speyeria,adiaste,,,Unsilvered Fritillary,,,FALSE
389,Nymphalidae,Heliconiinae,SPEYAPH,SPECIES,Speyeria,aphrodite,,,Aphrodite Fritillary,,,FALSE
400,Nymphalidae,Heliconiinae,SPEYATL,SPECIES,Speyeria,atlantis,,,Atlantis Fritillary,*,,FALSE
401,Nymphalidae,Heliconiinae,SPEYATL,SUBSPECIES,Speyeria,atlantis,atlantis,,Atlantis' Atlantis Fritillary,,,FALSE
402,Nymphalidae,Heliconiinae,SPEYATL,SUBSPECIES,Speyeria,atlantis,hesperis,,Hesperis' Atlantis Fritillary,,,FALSE
403,Nymphalidae,Heliconiinae,SPEYATL,SUBSPECIES,Speyeria,atlantis,nausicaa,,Southwestern' Atlantis Fritillary,,,FALSE
396,Nymphalidae,Heliconiinae,SPEYCAL,SPECIES,Speyeria,callippe,,,Callippe Fritillary,,,FALSE
397,Nymphalidae,Heliconiinae,SPEYCAL,SUBSPECIES,Speyeria,callippe,nevadensis,,Callippe Fritillary,,,FALSE
393,Nymphalidae,Heliconiinae,SPEYCOR,SPECIES,Speyeria,coronis,,,Coronis Fritillary,,,FALSE
387,Nymphalidae,Heliconiinae,SPEYCYB,SPECIES,Speyeria,cybele,,,Great Spangled Fritillary,,,FALSE
388,Nymphalidae,Heliconiinae,SPEYCYB,SUBSPECIES,Speyeria,cybele,leto,,Great Spangled Fritillary,,,FALSE
386,Nymphalidae,Heliconiinae,SPEYDIA,SPECIES,Speyeria,diana,,,Diana Fritillary,,,FALSE
392,Nymphalidae,Heliconiinae,SPEYEDW,SPECIES,Speyeria,edwardsii,,,Edwards' Fritillary,,,FALSE
398,Nymphalidae,Heliconiinae,SPEYEGL,SPECIES,Speyeria,egleis,,,Great Basin Fritillary,,,FALSE
404,Nymphalidae,Heliconiinae,SPEYHYD,SPECIES,Speyeria,hydaspe,,,Hydaspe Fritillary,,,FALSE
390,Nymphalidae,Heliconiinae,SPEYIDA,SPECIES,Speyeria,idalia,,,Regal Fritillary,,,FALSE
405,Nymphalidae,Heliconiinae,SPEYMOR,SPECIES,Speyeria,mormonia,,,Mormon Fritillary,,,FALSE
406,Nymphalidae,Heliconiinae,SPEYMOR,SUBSPECIES,Speyeria,mormonia,atronia,,Mormon Fritillary,,,FALSE
407,Nymphalidae,Heliconiinae,SPEYMOR,SUBSPECIES,Speyeria,mormonia,luski,,Mormon Fritillary,,,FALSE
391,Nymphalidae,Heliconiinae,SPEYNOK,SPECIES,Speyeria,nokomis,,,Nokomis Fritillary,,,FALSE
394,Nymphalidae,Heliconiinae,SPEYZER,SPECIES,Speyeria,zerene,,,Zerene Fritillary,,,FALSE
395,Nymphalidae,Heliconiinae,SPEYZER,SUBSPECIES,Speyeria,zerene,carolae,,'Spring Mountains' Zerene Fritillary,*,,FALSE
985,Hesperiidae,Megathyminae,STAMAC,SPECIES,Stallingsia,maculosa,,,Manfreda Giant-Skipper,,,FALSE
736,Hesperiidae,Pyrginae,STAP-SP,GENUS,Staphylus,sp.,,,Scallopwing,,,FALSE
733,Hesperiidae,Pyrginae,STAPCEO,SPECIES,Staphylus,ceos,,,Golden-headed Scallopwing,,,FALSE
735,Hesperiidae,Pyrginae,STAPHAY,SPECIES,Staphylus,hayhurstii,,,Hayhurst's Scallopwing,,,FALSE
734,Hesperiidae,Pyrginae,STAPMAZ,SPECIES,Staphylus,mazans,,,Mazans Scallopwing,,,TRUE
846,Hesperiidae,Hesperiinae,STIMOR,SPECIES,Stinga,morrisoni,,,Morrison's Skipper,,,FALSE
250,Lycaenidae,Theclinae,STR-SP,GENUS,Strymon,sp.,,,Scrub-Hairstreak sp.,,,FALSE
243,Lycaenidae,Theclinae,STRACI,SPECIES,Strymon,acis,,,Bartram's Scrub-Hairstreak,,,FALSE
242,Lycaenidae,Theclinae,STRALB,SPECIES,Strymon,albata,,,White Scrub-Hairstreak,,,FALSE
244,Lycaenidae,Theclinae,STRALE,SPECIES,Strymon,alea,,,Lacey's Scrub-Hairstreak,,,TRUE
237,Lycaenidae,Theclinae,STRAVA,SPECIES,Strymon,avalona,,,Avalon Scrub-Hairstreak,,,FALSE
248,Lycaenidae,Theclinae,STRBAZ,SPECIES,Strymon,bazochii,,,Lantana Scrub-Hairstreak,,,FALSE
239,Lycaenidae,Theclinae,STRBEB,SPECIES,Strymon,bebrycia,,,Red-lined Scrub-Hairstreak,,,FALSE
247,Lycaenidae,Theclinae,STRCES,SPECIES,Strymon,cestri,,,Tailless Scrub-Hairstreak,,,FALSE
245,Lycaenidae,Theclinae,STRIST,SPECIES,Strymon,istapa,,,Mallow Scrub-Hairstreak,*,Scott lists as Strymon columella,FALSE
246,Lycaenidae,Theclinae,STRLIM,SPECIES,Strymon,limenia,,,Disguised Scrub-Hairstreak,,,FALSE
240,Lycaenidae,Theclinae,STRMAR,SPECIES,Strymon,martialis,,,Martial Scrub-Hairstreak,,,FALSE
236,Lycaenidae,Theclinae,STRMEL,SPECIES,Strymon,melinus,,,Gray Hairstreak,,,FALSE
238,Lycaenidae,Theclinae,STRRUF,SPECIES,Strymon,rufofusca,,,Red-crescent Scrub-Hairstreak,,,FALSE
249,Lycaenidae,Theclinae,STRSER,SPECIES,Strymon,serapio,,,Bromeliad Scrub-Hairstreak,,,FALSE
241,Lycaenidae,Theclinae,STRYOJ,SPECIES,Strymon,yojoa,,,Yojoa Scrub-Hairstreak,,,FALSE
813,Hesperiidae,Hesperiinae,SYN-SP,GENUS,Synapte,sp.,,,Synapte sp.,,,FALSE
810,Hesperiidae,Hesperiinae,SYNMAL,SPECIES,Synapte,malitiosa,,,Malicious Skipper,,,FALSE
811,Hesperiidae,Hesperiinae,SYNSAL,SPECIES,Synapte,salenus,,,Salenus Skipper,,,FALSE
812,Hesperiidae,Hesperiinae,SYNSYR,SPECIES,Synapte,syraces,,,Faceted Skipper,,,FALSE
629,Nymphalidae,Satyrinae,SYRPAT,SPECIES,Gyrocheilus,patrobas,,,Red-bordered Satyr,,,FALSE
745,Hesperiidae,Pyrginae,SYS-SP,GENUS,Systasea,sp.,,,Powdered-Skipper sp.,,,FALSE
743,Hesperiidae,Pyrginae,SYSPUL,SPECIES,Systasea,pulverulenta,,,Texas Powdered-Skipper,,,FALSE
744,Hesperiidae,Pyrginae,SYSZAM,SPECIES,Systasea,zampa,,,Arizona Powdered-Skipper,,,FALSE
456,Nymphalidae,Nymphalinae,TEXELA,SPECIES,Texola,elada,,,Elada Checkerspot,,,FALSE
967,Hesperiidae,Hesperiinae,THEMAC,SPECIES,Thespieus,macareus,,,Chestnut-marked Skipper,,,FALSE
714,Hesperiidae,Pyrginae,THO-SP,GENUS,Thorybes,sp.,,,Cloudywing sp.,,,FALSE
708,Hesperiidae,Pyrginae,THOBAT,SPECIES,Thorybes,bathyllus,,,Southern Cloudywing,,,FALSE
712,Hesperiidae,Pyrginae,THOCON,SPECIES,Thorybes,confusis,,,Confused Cloudywing,,,FALSE
710,Hesperiidae,Pyrginae,THODIV,SPECIES,Thorybes,diversus,,,Western Cloudywing,,,FALSE
713,Hesperiidae,Pyrginae,THODRU,SPECIES,Thorybes,drusius,,,Drusius Cloudywing,,,FALSE
711,Hesperiidae,Pyrginae,THOMEX,SPECIES,Thorybes,mexicanus,,,Mexican Cloudywing,,,FALSE
709,Hesperiidae,Pyrginae,THOPYL,SPECIES,Thorybes,pylades,,,Northern Cloudywing,,,FALSE
843,Hesperiidae,Hesperiinae,THYLIN,SPECIES,Thymelicus,lineola,,,European Skipper,,,FALSE
748,Hesperiidae,Pyrginae,TIMPUR,SPECIES,Timochares,ruptifasciatus,,,Brown-banded Skipper,,,FALSE
258,Lycaenidae,Theclinae,TMOECH,SPECIES,Tmolus,echion,,,Red-spotted Hairstreak,,,FALSE
672,Hesperiidae,Pyrginae,TYPUND,SPECIES,Typhedanus,undulatus,,,Mottled Longtail,,,FALSE
691,Hesperiidae,Pyrginae,URB-SP,GENUS,Urbanus,sp.,,,Longtail sp.,,,FALSE
684,Hesperiidae,Pyrginae,URBBEL,SPECIES,Urbanus,belli,,,Double-striped Longtail,*,,FALSE
685,Hesperiidae,Pyrginae,URBDO1,SPECIES,Urbanus,dorantes,,,Dorantes Longtail,,,TRUE
690,Hesperiidae,Pyrginae,URBDO2,SPECIES,Urbanus,doryssus,,,White-tailed Longtail,,,FALSE
683,Hesperiidae,Pyrginae,URBESM,SPECIES,Urbanus,esmeraldus,,,Esmeralda Longtail,,,FALSE
689,Hesperiidae,Pyrginae,URBPR1,SPECIES,Urbanus,procne,,,Brown Longtail,,,FALSE
682,Hesperiidae,Pyrginae,URBPR2,SPECIES,Urbanus,pronus,,,Pronus Longtail,,,FALSE
681,Hesperiidae,Pyrginae,URBPR3,SPECIES,Urbanus,proteus,,,Long-tailed Skipper,,,FALSE
688,Hesperiidae,Pyrginae,URBSIM,SPECIES,Urbanus,simplicius,,,Plain Longtail,,,FALSE
687,Hesperiidae,Pyrginae,URBTAN,SPECIES,Urbanus,tanna,,,Tanna Longtail,,,FALSE
686,Hesperiidae,Pyrginae,URBTEL,SPECIES,Urbanus,teleus,,,Teleus Longtail,,,FALSE
332,Lycaenidae,Polyommatinae,VACOPT,SPECIES,Vacciniina,optilete,,,Cranberry Blue,,,FALSE
296,Lycaenidae,Polyommatinae,VAGBLA,SPECIES,Vaga,blackburni,,,Hawaiian Blue,*,,FALSE
506,Nymphalidae,Nymphalinae,VAN-SP,GENUS,Vanessa,sp.,,,Lady sp.,,,FALSE
503,Nymphalidae,Nymphalinae,VANANN,SPECIES,Vanessa,annabella,,,West Coast Lady,,Scott V. carye (with annabella and carye as ssp.),FALSE
505,Nymphalidae,Nymphalinae,VANATA,SPECIES,Vanessa,atalanta,,,Red Admiral,,,FALSE
502,Nymphalidae,Nymphalinae,VANCAR,SPECIES,Vanessa,cardui,,,Painted Lady,,,TRUE
504,Nymphalidae,Nymphalinae,VANTAM,SPECIES,Vanessa,tameneamea,,,Kamehameha Lady,,,FALSE
501,Nymphalidae,Nymphalinae,VANVIR,SPECIES,Vanessa,virginiensis,,,American Lady,,,FALSE
827,Hesperiidae,Hesperiinae,VETFAN,SPECIES,Vettius,fantasos,,,Fantastic Skipper,,,FALSE
815,Hesperiidae,Hesperiinae,VIDPER,SPECIES,Vidius,perigenes,,,Pale-rayed Skipper,,,FALSE
882,Hesperiidae,Hesperiinae,WAL-SP,GENUS,Wallengrenia,sp.,,,Broken-Dash sp.,,,FALSE
881,Hesperiidae,Hesperiinae,WALEGE,SPECIES,Wallengrenia,egeremet,,,Northern Broken-Dash,,,FALSE
880,Hesperiidae,Hesperiinae,WALOTH,SPECIES,Wallengrenia,otho,,,Southern Broken-Dash,,,FALSE
740,Hesperiidae,Pyrginae,XENTRY,SPECIES,Xenophanes,tryxus,,,Glassy-winged Skipper,,,FALSE
676,Hesperiidae,Pyrginae,ZESDOR,SPECIES,Zestusa,dorus,,,Short-tailed Skipper,,,FALSE
276,Lycaenidae,Polyommatinae,ZIZCYN,SPECIES,Zizula,cyna,,,Cyna Blue,,,FALSE
,,,GREMOR,SPECIES,Greta,morgane,,,Thick-tipped Greta,,,FALSE
,,,ITADEM,SPECIES,Itaballia,demophile,,,Cross-barred White,,,FALSE
,,,TEMLAO,SPECIES,Temenis,laothoe,,,Orange Banner,,,FALSE
,ADDED,ADDED,HELISUB,SPECIES,Heliopetes,sublinea,,,East-Mexican White-Skipper,,,FALSE
,,,ZIEGUZ,SPECIES,Ziegleria,guzanta,,,Orange-crescent Groundstreak,,,FALSE
,,,BIEZON,SPECIES,Baeotis,zonata,,,Bumble Bee Metalmark,,,FALSE
,,,ACHLPAL,SPECIES,Achlyodes,pallida,,,Pale Sicklewing,,,FALSE
,,,POMPOM,SPECIES,Pompeius,pompeius,,,Common Glassywing,,,FALSE
,,,RHEARC,SPECIES,Rhetus,arcius,,,Sword-tailed Beautymark,,,FALSE
,,,EBR-SP,GENUS,Ebrietas,sp.,,,Bentwing,,,FALSE
,,,MELLIL,SPECIES,Melinaea,lilis,,,Heliconoid Ticlear,,,FALSE
,,,ARCDEM,,,,,,,,,FALSE
,,,,,Boloria,titania,,,,,NABA equivalent? Syn: Clossiana titania,FALSE
