Species,Year,Juveniles,Surveyed broods
1,1,153,51
1,2,141,54
1,3,132,46
1,4,139,44
1,5,130,42
1,6,141,45
1,7,161,58
1,8,161,55
1,9,152,49
1,10,136,46
2,1,203,45
2,2,252,63
2,3,259,69
2,4,291,75
2,5,346,88
2,6,322,79
2,7,351,86
2,8,384,99
2,9,471,120
2,10,535,127
3,1,141,48
3,2,106,36
3,3,78,30
3,4,84,30
3,5,100,32
3,6,103,36
3,7,87,33
3,8,87,28
3,9,67,27
3,10,76,22
4,1,222,77
4,2,283,87
4,3,318,103
4,4,398,132
4,5,512,158
4,6,490,168
4,7,506,183
4,8,609,209
4,9,725,229
4,10,887,285
5,1,82,28
5,2,92,33
5,3,86,35
5,4,93,31
5,5,98,30
5,6,106,35
5,7,124,36
5,8,100,33
5,9,78,26
5,10,91,29
6,1,224,72
6,2,228,70
6,3,244,83
6,4,206,77
6,5,200,56
6,6,216,72
6,7,218,65
6,8,204,62
6,9,230,77
6,10,241,80
7,1,99,36
7,2,114,37
7,3,66,26
7,4,68,24
7,5,80,24
7,6,82,20
7,7,63,20
7,8,63,21
7,9,58,23
7,10,69,25
8,1,227,77
8,2,287,88
8,3,272,103
8,4,360,104
8,5,395,120
8,6,365,136
8,7,412,142
8,8,377,127
8,9,397,137
8,10,480,158
9,1,192,63
9,2,186,62
9,3,167,60
9,4,135,44
9,5,90,32
9,6,72,25
9,7,55,23
9,8,54,14
9,9,43,17
9,10,43,12
10,1,115,40
10,2,126,39
10,3,109,39
10,4,124,44
10,5,116,44
10,6,117,46
10,7,128,40
10,8,105,38
10,9,166,53
10,10,146,51